Name,RO5_violations,Smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,NumRadicalElectrons,NumValenceElectrons,FP1,FP2,FP3,HeavyAtomMolWt,pIC50
CHEMBL13068,1,CC(C)C(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,active,527.643,3.3595,5,7,0,198,0.918918919,1.540540541,2.162162162,494.379,6.13667714
CHEMBL82663,0,O=S(=O)(CCCOCCc1ccccc1)CCNCCc1ccc(O)c2nc(O)sc12,inactive,464.609,2.9038,3,8,0,168,0.967741935,1.774193548,2.580645161,436.385,5
CHEMBL1807869,0,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCNCCc3cccc(Cl)c3)c2s1,active,482.071,3.5272,5,7,0,168,1.129032258,2,2.838709677,453.847,6.900008766
CHEMBL1807872,0,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCNCCc3cccc(Cl)c3)c2s1,active,466.003,2.8106,5,7,0,168,1.129032258,2,2.838709677,437.779,7.199970641
CHEMBL1807829,1,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3cccc(Cl)c3Cl)c2s1,active,516.516,4.1806,5,7,0,174,1.09375,1.9375,2.78125,489.3,7.100015437
CHEMBL1807823,0,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3ccccc3)c2s1,active,447.626,2.8738,5,7,0,162,1.033333333,1.866666667,2.7,418.394,6.599997654
CHEMBL1807817,0,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCOCCc3ccccc3)c2s1,active,448.61,3.3008,4,7,0,162,1.133333333,1.966666667,2.8,420.386,8.100015437
CHEMBL1807870,0,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCNCCc3ccccc3Cl)c2s1,active,482.071,3.5272,5,7,0,168,1.096774194,1.935483871,2.774193548,453.847,7.400007822
CHEMBL314893,1,CCCCCCn1ncn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,inactive,564.712,3.6758,3,9,0,212,1,1.775,2.475,528.424,5
CHEMBL285458,2,CCCCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,intermediate,577.751,5.7011,3,8,0,218,0.926829268,1.682926829,2.414634146,538.439,5.045757491
